policy_id,policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density
ID00203,0.195113433,0.17,0.576923077,C2,27003
ID00204,0.085196332,0.12,0.471153846,C2,27003
ID00205,1.242781599,0,0.528846154,C5,34738
ID00206,1.239535746,0.03,0.519230769,C2,27003
ID00207,1.17838965,0.03,0.336538462,C2,27003
ID00208,1.089782825,0.03,0.567307692,C5,34738
ID00209,1.227388351,0.04,0.288461538,C19,27742
ID00210,0.070010965,0,0.413461538,C2,27003
ID00211,1.00064377,0.14,0.365384615,C5,34738
ID00212,1.172550658,0.03,0.653846154,C13,5410
ID00213,0.151663113,0.2,0.346153846,C8,8794
ID00214,1.103335493,0.07,0.528846154,C14,7788
ID00215,1.224669001,0.29,0.403846154,C5,34738
ID00216,1.147635353,0.01,0.461538462,C2,27003
ID00217,1.108195501,0.05,0.673076923,C2,27003
ID00218,0.484379575,0.02,0.5,C2,27003
ID00219,1.027831566,0.08,0.567307692,C14,7788
ID00220,1.004345186,0.01,0.413461538,C5,34738
ID00221,0.235927122,0.15,0.403846154,C12,34791
ID00222,0.652157687,0,0.317307692,C13,5410
ID00223,1.108970895,0.02,0.673076923,C8,8794
ID00224,0.446645758,0.06,0.557692308,C9,17804
ID00225,1.244913247,0.15,0.644230769,C13,5410
ID00226,0.31138498,0.01,0.596153846,C8,8794
ID00227,0.970569152,0.07,0.567307692,C5,34738
ID00228,0.833927355,0.01,0.336538462,C7,6112
ID00229,0.299454383,0,0.471153846,C3,4076
ID00230,1.140644729,0.08,0.682692308,C7,6112
ID00231,0.663267013,0.08,0.576923077,C8,8794
ID00232,0.010041488,0.01,0.346153846,C8,8794
ID00233,1.180844929,0.15,0.692307692,C3,4076
ID00234,0.049872774,0,0.490384615,C5,34738
ID00235,0.728766528,0.14,0.326923077,C2,27003
ID00236,0.233344112,0,0.384615385,C2,27003
ID00237,0.955018994,0.01,0.346153846,C13,5410
ID00238,1.097259354,0.12,0.365384615,C11,6108
ID00239,0.086452741,0.09,0.442307692,C5,34738
ID00240,1.18895395,0.04,0.653846154,C3,4076
ID00241,0.560183206,0.05,0.423076923,C12,34791
ID00242,0.361542816,0.02,0.461538462,C10,73430
ID00243,0.51531277,0,0.423076923,C9,
ID00244,1.046147431,0.11,0.480769231,C17,
ID00245,0.966714682,0.01,0.538461538,C10,
ID00246,0.365102388,0.03,0.355769231,C13,
ID00247,0.260175187,0.17,0.509615385,C13,
ID00248,0.082441437,0.06,0.730769231,C5,
ID00249,1.181383891,0.07,0.701923077,C8,
ID00250,0.505313898,0.04,0.625,C3,
ID00251,0.386863596,0.01,0.596153846,C2,
ID00252,1.080125798,0.16,0.442307692,C8,
ID00253,1.24010865,0.14,0.432692308,C3,4076
ID00254,0.091844244,0.01,0.461538462,C10,73430
ID00255,0.146303079,0.01,0.557692308,C10,73430
ID00256,1.070681504,0.12,0.480769231,C11,6108
ID00257,0.032256716,0.03,0.288461538,C2,27003
ID00258,0.046265551,0,0.509615385,C18,35036
ID00259,1.208841051,0.09,0.403846154,C14,7788
ID00260,1.164872029,0.09,0.307692308,C7,6112
ID00261,0.023278956,0,0.432692308,C3,4076
ID00262,0.621501301,0.07,0.346153846,C2,27003
ID00263,1.243388763,0.13,0.355769231,C8,8794
ID00264,0.024168103,0.08,0.538461538,C19,27742
ID00265,0.919157982,0,0.615384615,C20,20905
ID00266,1.059148384,0.01,0.298076923,C8,8794
ID00267,0.116034098,0.13,0.471153846,C2,27003
ID00268,0.006026592,0.11,0.365384615,C8,8794
ID00269,0.138289216,0.1,0.807692308,C13,5410
ID00270,0.145280804,0.15,0.538461538,C2,27003
ID00271,0.709748711,0.03,0.644230769,C12,34791
ID00272,0.865703762,0.01,0.451923077,C16,16206
ID00273,0.046403805,0.11,0.355769231,C12,34791
ID00274,0.597829019,0.09,0.346153846,C9,17804
ID00275,1.063086592,0.07,0.432692308,C2,27003
ID00276,0.125868525,0.05,0.663461538,C8,8794
ID00277,0.417343312,0.19,0.403846154,C13,5410
ID00278,1.03485476,0.01,0.596153846,C2,27003
ID00279,1.042688063,0.15,0.442307692,C14,7788
ID00280,1.056369839,0.1,0.326923077,C8,8794
ID00281,1.222893102,0.13,0.644230769,C8,8794
ID00282,1.0615233,0.05,0.413461538,C2,27003
ID00283,0.094809266,0.14,0.336538462,C13,5410
ID00284,0.77792632,0.14,0.528846154,C8,8794
ID00285,0.454009493,0.07,0.605769231,C3,4076
ID00286,0.104329545,0.04,0.442307692,C14,7788
ID00287,1.124807586,0.18,0.471153846,C13,5410
ID00288,1.030233762,0.08,0.432692308,C8,8794
ID00289,0.270750757,0.16,0.596153846,C8,8794
ID00290,0.083004271,0.09,0.307692308,C3,4076
ID00291,0.085965228,0.09,0.480769231,C8,8794
ID00292,0.088466506,0,0.730769231,C3,4076
ID00293,1.029521902,0.01,0.384615385,C8,8794
ID00294,0.069301214,0.1,0.538461538,C8,8794
ID00295,1.118195104,0.02,0.663461538,C8,8794
ID00296,0.780804989,0.12,0.528846154,C2,27003
ID00297,0.467947606,0,0.692307692,C8,8794
ID00298,1.168199217,0.19,0.461538462,C21,3264
ID00299,1.02037119,0.04,0.461538462,C8,8794
ID00300,0.085119605,0.08,0.490384615,C13,5410
ID00301,0.072649104,0.1,0.336538462,C8,8794
ID00302,0.361514811,0.02,0.528846154,C10,73430
ID00303,0.555292617,0.11,0.336538462,C5,34738
ID00304,1.235451129,0.13,0.365384615,C2,27003
ID00305,0.511285391,0.17,0.384615385,C12,34791
ID00306,0.379481747,0.07,0.355769231,C8,8794
ID00307,0.072819065,0,0.413461538,C2,27003
ID00308,0.072997927,0.08,0.442307692,C2,27003
ID00309,0.093590674,0.13,0.307692308,C3,4076
ID00310,1.124843185,0.02,0.692307692,C9,17804
ID00311,0.22079434,0,0.326923077,C3,4076
ID00312,1.168320793,0.06,0.798076923,C19,27742
ID00313,0.483513614,0.09,0.567307692,C8,8794
ID00314,0.03356627,0,0.586538462,C10,73430
ID00315,1.147586092,0.03,0.519230769,C8,8794
ID00316,0.498238611,0.03,0.471153846,C3,4076
ID00317,1.202465954,0.09,0.432692308,C15,290
ID00318,0.74941909,0.01,0.423076923,C5,34738
ID00319,0.123058408,0,0.403846154,C2,27003
ID00320,1.024211915,0.02,0.634615385,C2,27003
ID00321,1.248537971,0.17,0.759615385,C8,8794
ID00322,0.21087358,0.18,0.846153846,C2,27003
ID00323,0.089962123,0.15,0.317307692,C6,13051
ID00324,0.322176678,0.02,0.432692308,C10,73430
ID00325,0.084524485,0.14,0.336538462,C2,27003
ID00326,0.228210657,0.08,0.326923077,C3,4076
ID00327,0.174394347,0.1,0.634615385,C8,8794
ID00328,0.336255683,0.1,0.355769231,C10,73430
ID00329,0.388433811,0.01,0.365384615,C3,4076
ID00330,0.379791885,0.14,0.673076923,C14,7788
ID00331,0.091860808,0.05,0.365384615,C3,4076
ID00332,1.057753252,0.09,0.471153846,C2,27003
ID00333,1.127888626,0.05,0.346153846,C8,8794
ID00334,0.150787618,0.14,0.365384615,C8,8794
ID00335,0.951400167,0.11,0.528846154,C2,27003
ID00336,1.090404012,0.09,0.375,C2,27003
ID00337,0.93268821,0.06,0.490384615,C15,290
ID00338,1.062183113,0.02,0.596153846,C3,4076
ID00339,0.049812337,0.04,0.519230769,C17,65567
ID00340,0.800770035,0.04,0.307692308,C13,5410
ID00341,1.075606437,0.11,0.663461538,C8,8794
ID00342,0.089257788,0.15,0.355769231,C8,8794
ID00343,1.162849472,0.16,0.317307692,C13,5410
ID00344,0.119613719,0.09,0.423076923,C19,27742
ID00345,0.904138613,0.01,0.701923077,C21,3264
ID00346,0.955806408,0.01,0.432692308,C2,27003
ID00347,0.286969158,0.1,0.5,C3,4076
ID00348,0.047594776,0.03,0.326923077,C2,27003
ID00349,0.510557513,0.17,0.375,C14,7788
ID00350,1.176848174,0.03,0.711538462,C7,6112
ID00351,0.422986495,0.07,0.442307692,C5,34738
ID00352,0.959825769,0.02,0.317307692,C21,3264
ID00353,0.980758901,0.02,0.567307692,C12,34791
ID00354,0.89668601,0.02,0.480769231,C17,65567
ID00355,,0.14,0.298076923,C9,17804
ID00356,,0.01,0.288461538,C5,34738
ID00357,,0.14,0.384615385,C14,7788
ID00358,,0.06,0.596153846,C13,5410
ID00359,,0.04,0.509615385,C2,27003
ID00360,,0.12,0.307692308,C2,27003
ID00361,,0.02,0.394230769,C8,8794
ID00362,,0,0.586538462,C8,8794
ID00363,,0.14,0.423076923,C8,8794
ID00364,,0.03,0.567307692,C2,27003
ID00365,,0,0.451923077,C5,34738
ID00366,,0.38,0.778846154,C8,8794
ID00367,,0.08,0.5,C2,27003
ID00368,,0.03,0.490384615,C8,8794
ID00369,,0,0.480769231,C3,4076
ID00370,,0.04,0.326923077,C8,8794
ID00371,0.03168786,0,0.432692308,C5,34738
ID00372,0.972733564,0.12,0.336538462,C2,27003
ID00373,1.129721171,0.01,0.644230769,C3,4076
ID00374,1.206766684,0.1,0.701923077,C14,7788
ID00375,0.092826046,0.17,0.336538462,C8,8794
ID00376,0.31677961,0.02,0.653846154,C14,7788
ID00377,0.379587654,0.06,0.509615385,C1,4990
ID00378,0.340266334,0.06,0.586538462,C8,8794
ID00379,0.906400935,0,0.490384615,C11,6108
ID00380,0.517833197,0.14,0.384615385,C14,7788
ID00381,1.052612937,0.03,0.519230769,C9,17804
ID00382,0.070671513,0,0.625,C5,34738
ID00383,1.161722406,0.16,0.528846154,C8,8794
ID00384,1.023968344,0.06,0.423076923,C8,8794
ID00385,0.463252309,0.13,0.625,C2,27003
ID00386,0.401333961,0.07,0.586538462,C3,4076
ID00387,0.090669063,0.01,0.375,C3,4076
ID00388,0.368805004,0.03,0.365384615,C1,4990
ID00389,1.029044177,0.16,0.432692308,C3,4076
ID00390,0.040885276,0.01,0.307692308,C3,4076
ID00391,1.045772764,0.01,0.394230769,C2,27003
ID00392,0.070262413,0.16,0.586538462,C10,73430
ID00393,0.484808508,0.1,0.288461538,C3,4076
ID00394,0.233562913,0.04,0.711538462,C3,4076
ID00395,0.070911747,0,0.576923077,C3,4076
ID00396,0.509775707,0.01,0.653846154,C5,34738
ID00397,0.118000811,0,0.673076923,C3,4076
ID00398,1.068732289,0.12,0.288461538,C8,8794
ID00399,1.119827609,0.13,0.644230769,C8,8794
ID00400,1.116676851,0.03,0.403846154,C8,8794
ID00401,0.148906432,0.01,0.375,C5,34738
ID00402,1.015270927,0.11,0.451923077,C13,5410
ID00403,1.051847516,0.13,0.682692308,C11,6108
ID00404,1.037659893,0.22,0.807692308,C8,8794
ID00405,0.134002785,0.04,0.384615385,C8,8794
ID00406,1.216954248,0.08,0.673076923,C5,34738
ID00407,1.029324174,0.04,0.442307692,C2,27003
ID00408,0.316964066,0.16,0.471153846,C2,27003
ID00409,1.194751108,0.09,0.490384615,C13,5410
ID00410,1.144965837,0.14,0.769230769,C3,4076
ID00411,0.607188761,0.01,0.403846154,C5,34738
ID00412,0.554185946,0.03,0.317307692,C5,34738
ID00413,0.400803549,0.1,0.442307692,C5,34738
ID00414,0.923478324,0,0.355769231,C5,34738
ID00415,0.725771301,0.1,0.519230769,C5,34738
ID00416,1.165207328,0.03,0.567307692,C5,34738
ID00417,0.04294303,0.02,0.298076923,C15,290
ID00418,0.067477737,0.12,0.605769231,C3,4076
ID00419,0.575669711,0.11,0.317307692,C13,5410
ID00420,1.224110501,0.01,0.346153846,C2,27003
ID00421,1.220671238,0.11,0.625,C14,7788
ID00422,1.091561882,0.03,0.519230769,C22,16733
ID00423,0.515134279,0.08,0.509615385,C1,4990
ID00424,0.740810751,0.09,0.288461538,C8,8794
ID00425,1.074895405,0.16,0.384615385,C8,8794
ID00426,0.920905477,0.01,0.461538462,C3,4076
ID00427,0.438738977,0.01,0.586538462,C3,4076
ID00428,0.082487642,0.11,0.375,C7,6112
ID00429,0.170398194,0,0.394230769,C2,27003
ID00430,1.216800033,0.08,0.644230769,C8,8794
ID00431,0.926131048,0,0.615384615,C5,34738
ID00432,0.188299492,0,0.509615385,C3,4076
ID00433,1.102071811,0.15,0.528846154,C7,6112
ID00434,0.096807686,0.09,0.288461538,C15,290
ID00435,1.210388279,0.07,0.5,C9,17804
ID00436,0.276206887,0.11,0.442307692,C3,4076
ID00437,1.011527578,0.02,0.5,C13,5410
ID00438,0.17344529,0,0.451923077,C8,8794
ID00439,0.116563899,0.1,0.423076923,C8,8794
ID00440,0.521693551,0.06,0.298076923,C8,8794
ID00441,1.158105051,0,0.576923077,C5,34738
ID00442,0.607391515,0,0.5,C7,6112
ID00443,0.295789548,0.16,0.461538462,C12,34791
ID00444,0.087810259,0.06,0.490384615,C1,4990
ID00445,0.043224423,0,0.586538462,C3,4076
ID00446,0.137657117,0.1,0.480769231,C13,5410
ID00447,0.258099806,0.06,0.298076923,C14,7788
ID00448,1.170655372,0.17,0.317307692,C8,8794
ID00449,0.08581645,0.2,0.384615385,C10,73430
ID00450,0.874709666,0.04,0.5,C7,6112
ID00451,0.528248628,0.01,0.490384615,C10,73430
ID00452,0.828613837,0.02,0.759615385,C5,34738
ID00453,0.451875477,0.02,0.682692308,C10,73430
ID00454,1.006001736,0.29,0.538461538,C8,8794
ID00455,1.194967528,0.05,0.576923077,C5,34738
ID00456,0.083352624,0.02,0.644230769,C5,34738
ID00457,1.133541738,0.12,0.798076923,C8,8794
ID00458,0.24954538,0.02,0.653846154,C10,73430
ID00459,1.074109805,0.1,0.423076923,C8,8794
ID00460,0.283425673,0.02,0.451923077,C5,34738
ID00461,0.897953378,0.04,0.403846154,C22,16733
ID00462,1.1076343,0.13,0.365384615,C8,8794
ID00463,0.010555325,0,0.298076923,C10,73430
ID00464,1.186494528,0.12,0.519230769,C8,8794
ID00465,0.172343203,0.06,0.423076923,C20,20905
ID00466,0.347604771,0.03,0.567307692,C3,4076
ID00467,0.816096309,0.17,0.355769231,C9,17804
ID00468,0.561399656,0.1,0.471153846,C7,6112
ID00469,0.375569872,0.09,0.644230769,C12,34791
ID00470,0.29589548,0.03,0.413461538,C3,4076
ID00471,1.213038629,0.09,0.355769231,C13,5410
ID00472,0.241850978,0.02,0.336538462,C5,34738
ID00473,0.088252074,0.08,0.471153846,C10,73430
ID00474,1.21902126,0.05,0.365384615,C5,34738
ID00475,0.811582189,0.02,0.509615385,C2,27003
ID00476,0.437966195,0.02,0.413461538,C3,4076
ID00477,1.180537598,0.05,0.528846154,C8,8794
ID00478,1.064584983,0.1,0.432692308,C8,8794
ID00479,0.636766074,0.01,0.528846154,C13,5410
ID00480,0.011158892,0.05,0.548076923,C3,4076
ID00481,0.976286108,0.02,0.355769231,C3,4076
ID00482,1.1856459,0.08,0.442307692,C7,6112
ID00483,1.142420185,0.1,0.634615385,C2,27003
ID00484,1.234275719,0.04,0.346153846,C9,17804
ID00485,1.001592046,0.09,0.413461538,C7,6112
ID00486,1.249121734,0.07,0.701923077,C14,7788
ID00487,0.011483774,0,0.442307692,C5,34738
ID00488,1.114462624,0.06,0.682692308,C2,27003
ID00489,0.270238985,0.02,0.653846154,C14,7788
ID00490,1.17277358,0.1,0.442307692,C8,8794
ID00491,0.173454877,0.09,0.375,C5,34738
ID00492,1.145028456,0.01,0.288461538,C14,7788
ID00493,0.324311944,0.02,0.326923077,C2,27003
ID00494,0.135658168,0.01,0.346153846,C2,27003
ID00495,0.453479541,0.07,0.75,C1,4990
ID00496,1.090292729,0.08,0.586538462,C5,34738
ID00497,0.012295693,0.02,0.326923077,C16,16206
ID00498,0.082772834,0.01,0.336538462,C3,4076
ID00499,0.236320475,0.01,0.5,C9,17804
ID00500,0.248066336,0.12,0.442307692,C12,34791
ID00501,0.875042298,0,0.5,C1,4990
ID00502,0.397788619,0.13,0.528846154,C19,27742
ID00503,1.081984375,0.16,0.346153846,C2,27003
ID00504,0.695104688,0.14,0.519230769,C8,8794
ID00505,1.091542766,0.07,0.451923077,C4,21622
ID00506,0.754844425,0.02,0.490384615,C5,34738
ID00507,0.79435859,0.01,0.730769231,C5,34738
ID00508,1.108764253,0.12,0.451923077,C8,8794
ID00509,0.782339372,0.02,0.557692308,C1,4990
ID00510,0.993028773,0.01,0.557692308,C14,7788
ID00511,0.129349496,0.03,0.432692308,C5,34738
ID00512,0.165155952,0.08,0.519230769,C9,17804
ID00513,0.006726962,0,0.730769231,C13,5410
ID00514,0.519135596,0.02,0.394230769,C1,4990
ID00515,0.635053955,0.2,0.317307692,C8,8794
ID00516,0.105122588,0.02,0.451923077,C1,4990
ID00517,0.478406916,0.06,0.403846154,C3,4076
ID00518,0.426970968,0.16,0.413461538,C3,4076
ID00519,0.191265856,0.01,0.461538462,C2,27003
ID00520,1.111162816,0.11,0.759615385,C8,8794
ID00521,0.174037743,0.14,0.721153846,C8,8794
ID00522,0.143786804,0.05,0.461538462,C2,27003
ID00523,0.43908718,0,0.394230769,C2,27003
ID00524,1.19518807,0.08,0.5,C17,65567
ID00525,0.092089163,0.14,0.326923077,C7,6112
ID00526,1.103489398,0.01,0.480769231,C19,27742
ID00527,0.377052062,0.03,0.326923077,C5,34738
ID00528,0.656704375,0.12,0.326923077,C8,8794
